Date,Open,High,Low,Volume,Close
2026-01-01,100,105,98,10000,103
2026-01-02,103,108,101,12000,106
2026-01-03,106,110,104,15000,108
2026-01-04,108,112,106,13000,110
2026-01-05,110,115,108,16000,113
2026-01-06,113,118,111,18000,116
2026-01-07,116,120,113,17000,118
2026-01-08,118,123,115,20000,121
2026-01-09,121,125,119,19000,123
2026-01-10,123,128,120,22000,126
2026-01-11,126,130,123,21000,128
2026-01-12,128,133,125,23000,131
2026-01-13,131,135,128,25000,133
2026-01-14,133,138,130,24000,136
2026-01-15,136,140,133,26000,139
